Team,Opponent,REG,W/L,Score,Spread W/L,Spread,O/U W/L,O/U,Home/Away
Clemson, California,REG,W,67-59,L,-10.5,O,124,0
Colorado, California,REG,L,80-76,L,-10.5,O,129.5,0
East Carolina, Hampton,REG,W,82-73,L,-10.5,O,144.5,1
Hawaii, Texas A&M-Commerce,REG,L,53-51,L,-10.5,U,133,1
Hawaii, Cal Poly,REG,W,57-48,L,-10.5,U,121.5,1
Illinois, Penn State,REG,L,74-59,L,-10.5,U,138,1
Indiana State, UMKC,REG,L,63-61,L,-10.5,U,148.5,1
Jacksonville, Charleston Southern,REG,W,72-63,L,-10.5,O,131.5,1
Kentucky, LSU,REG,W,74-71,L,-10.5,O,137,1
Lipscomb, Tennessee Tech,REG,W,64-63,L,-10.5,U,146.5,1
Minnesota, Central Michigan,REG,W,68-60,L,-10.5,U,135.5,1
Navy, VMI,REG,L,80-72,L,-10.5,O,140.5,0
Notre Dame, Youngstown State,REG,W,88-81,L,-10.5,O,148,1
Old Dominion, Arkansas State,REG,L,60-57,L,-10.5,U,124,1
Quinnipiac, Stonehill College,REG,W,102-95,L,-10.5,O,140.5,0
St. Marys, Washington,REG,L,68-64,L,-10.5,O,127,1
San Diego State, BYU,REG,W,82-75,L,-10.5,O,139,1
Texas, Stanford,REG,W,72-62,L,-10.5,O,132.5,1
Utah Valley, Northern Arizona,REG,W,73-69,L,-10.5,O,136,1
VCU, Radford,REG,W,70-62,L,-10.5,U,135.5,1
Wagner, Delaware State,REG,W,58-51,L,-10.5,U,131.5,0
Washington State, George Washington,REG,W,66-64,L,-10.5,U,136.5,1
Alabama, Mississippi - Ole Miss,REG,W,84-62,W,-10.5,U,147.5,1
Arkansas, Bradley,REG,W,76-57,W,-10.5,U,136.5,1
Charlotte, Coppin State,REG,W,82-59,W,-10.5,P,141,1
Dayton, UNC Asheville,REG,W,79-56,W,-10.5,U,136,1
Florida Atlantic, Detroit,REG,W,76-55,W,-10.5,U,151.5,1
Memphis, VCU,REG,W,62-47,W,-10.5,U,136,1
Memphis, Nebraska,REG,W,73-61,W,-10.5,U,139,1
Ole Miss, Chattanooga,REG,W,70-58,W,-10.5,U,136,1
Montana, Merrimack,REG,W,62-51,W,-10.5,U,129.5,1
Nevada, Norfolk State,REG,W,78-66,W,-10.5,O,137.5,1
Sam Houston State, Northern Illinois,REG,W,88-54,W,-10.5,O,128,1
South Florida, Charleston Southern,REG,W,79-59,W,-10.5,O,133,1
The Citadel, IUPUI,REG,W,74-53,W,-10.5,U,131.5,1
UC Riverside, Cal State-Bakersfield,REG,W,71-59,W,-10.5,O,124,1
Xavier, Georgetown University,REG,W,102-89,W,-10.5,O,153.5,0
American, VMI,REG,W,69-61,L,-10,U,137,1
Baylor, Washington State,REG,W,65-59,L,-10,U,139.5,1
Boise State, San Jose State,REG,W,67-64,L,-10,O,129,1
Creighton, BYU,REG,L,83-80,L,-10,O,144,1
Florida State, Troy,REG,L,79-72,L,-10,O,143,1
Fordham, Maine,REG,W,72-67,L,-10,O,134.5,1
Georgetown University, UMBC,REG,W,79-70,L,-10,U,151.5,1
Harvard, Howard,REG,L,66-54,L,-10,U,137,1
Houston, Saint Mary's-California,REG,W,53-48,L,-10,U,118.5,1
Illinois State, Eastern Illinois,REG,W,54-49,L,-10,U,135,0
Kansas, Oklahoma State,REG,W,69-67,L,-10,U,138.5,1
Longwood, Southern Illinois-Edwardsville,REG,L,61-56,L,-10,U,146,1
New Orleans, IUPUI,REG,W,87-84,L,-10,O,136.5,1
NC State, Pittsburgh,REG,L,68-60,L,-10,U,146.5,1
Northeastern, Holy Cross,REG,W,59-58,L,-10,U,138.5,1
Northern Kentucky, Tennessee Tech,REG,W,85-77,L,-10,O,131,1
Saint Joseph's, Lafayette,REG,W,63-59,L,-10,U,136.5,1
San Francisco, San Diego,REG,L,80-68,L,-10,U,154,1
Santa Clara, California,REG,W,71-62,L,-10,P,133,1
South Alabama, Alabama A&M,REG,W,78-71,L,-10,O,143,0
UCLA, Oregon,REG,W,65-56,L,-10,U,141,1
UMass-Lowell, NJIT,REG,W,67-64,L,-10,U,135.5,0
USC, Vermont,REG,W,59-57,L,-10,U,138.5,1
Utah, Sam Houston State,REG,L,65-55,L,-10,U,131.5,1
Vanderbilt, South Carolina,REG,W,84-79,L,-10,O,129,1
Montana State, North Dakota,REG,W,81-71,P,-10,O,135,0
Richmond, Bucknell,REG,W,81-71,P,-10,O,134.5,1
Auburn, George Mason,REG,W,70-52,W,-10,U,140.5,1
Ball State, Evansville,REG,W,88-69,W,-10,O,135.5,1
Dixie State, UTRGV,REG,W,81-66,W,-10,U,161,1
Duquesne, Winthrop,REG,W,74-57,W,-10,U,148.5,1
Kennesaw State, Central Arkansas,REG,W,82-66,W,-10,P,148,1
Liberty, Lipscomb,REG,W,77-48,W,-10,U,139.5,1
Marshall, Appalachian State,REG,W,79-53,W,-10,U,146,1
Miami, UNC Greensboro,REG,W,79-65,W,-10,O,134,1
Southern Illinois-Edwardsville, Tennessee Tech,REG,W,64-51,W,-10,U,139.5,1
St. Francis-Pennsylvania, Hartford,REG,W,77-53,W,-10,U,140,1
Tennessee, Mississippi State,REG,W,87-53,W,-10,O,122,1
UC-Santa Barbara, Pacific,REG,W,82-71,W,-10,O,139.5,1
UNC Wilmington, Elon,REG,W,81-66,W,-10,O,132.5,0
Utah, California,REG,W,58-43,W,-10,U,128.5,0
Utah State, Seattle,REG,W,84-56,W,-10,U,148,1
Utah Valley, Dixie State,REG,W,71-60,W,-10,U,147,1
Wofford, North Carolina A&T,REG,W,78-64,W,-10,O,135.5,1
BYU, Missouri State,REG,W,66-64,L,-9.5,U,146.5,1
Cleveland State, Arkansas-Pine Bluff,REG,W,67-58,L,-9.5,U,131.5,1
Davidson, Northeastern,REG,L,73-70,L,-9.5,O,137.5,1
Denver, Idaho,REG,W,68-63,L,-9.5,U,147,1
Fresno State, Sacramento State,REG,L,59-53,L,-9.5,U,128,1
Georgia, Rider,REG,W,78-72,L,-9.5,O,136,1
Georgia State, Texas A&M-Commerce,REG,W,57-53,L,-9.5,U,136,1
Illinois State, Western Illinois,REG,L,71-68,L,-9.5,U,148.5,1
Indiana State, East Carolina,REG,W,79-75,L,-9.5,O,150.5,1
Iona, Southern Methodist,REG,L,85-81,L,-9.5,O,142,0
Lipscomb, Alabama A&M,REG,L,63-59,L,-9.5,U,151.5,0
Minnesota, Western Michigan,REG,W,61-60,L,-9.5,U,135.5,1
North Alabama, Mississippi Valley State,REG,L,76-68,L,-9.5,O,134.5,0
Radford, USC Upstate,REG,L,65-60,L,-9.5,U,135,1
St. Marys, Oral Roberts,REG,W,78-70,L,-9.5,O,141.5,1
St. Marys, New Mexico,REG,L,69-65,L,-9.5,U,137.5,1
Santa Clara, Portland State,REG,W,78-75,L,-9.5,U,155.5,1
Southern Illinois, Southern Indiana,REG,L,71-53,L,-9.5,U,137.5,0
Syracuse, Bryant,REG,L,73-72,L,-9.5,U,162,1
Tennessee-Martin, McNeese State,REG,W,86-83,L,-9.5,O,145,1
Towson, Fairfield,REG,L,74-69,L,-9.5,O,127.5,1
UC Irvine, Harvard,REG,L,62-57,L,-9.5,U,133.5,1
Utah Valley, Morgan State,REG,L,73-72,L,-9.5,O,140.5,0
UTEP, Cal State-Bakersfield,REG,W,68-67,L,-9.5,O,122.5,1
Valparaiso, Chicago State,REG,L,87-74,L,-9.5,O,138,0
Virginia Tech, Boston College,REG,L,70-65,L,-9.5,O,133,0
Alabama, Liberty,REG,W,95-59,W,-9.5,O,146,1
Boise State, Utah Valley,REG,W,87-69,W,-9.5,O,129,1
Cal Baptist, Central Michigan,REG,W,77-61,W,-9.5,U,140.5,1
Charlotte, Monmouth,REG,W,80-46,W,-9.5,U,127.5,0
Florida Atlantic, Eastern Michigan,REG,W,101-73,W,-9.5,O,147.5,0
Florida State, Louisville,REG,W,75-53,W,-9.5,U,138.5,1
Gardner-Webb, Charleston Southern,REG,W,83-63,W,-9.5,O,135.5,1
Grambling State, Incarnate Word,REG,W,72-39,W,-9.5,U,133.5,1
Harvard, Holy Cross,REG,W,72-38,W,-9.5,U,140.5,0
Louisiana-Monroe, Lamar,REG,W,83-59,W,-9.5,O,136,1
Loyola Marymount, Tulsa,REG,W,76-64,W,-9.5,U,144,1
Middle Tennessee, Rice,REG,W,81-46,W,-9.5,U,147.5,1
Ohio, Cleveland State,REG,W,81-70,W,-9.5,O,136.5,1
Oregon, Portland,REG,W,78-56,W,-9.5,U,147,1
Pepperdine, Northern Arizona,REG,W,88-69,W,-9.5,O,151.5,1
PFW, Texas A&M-Commerce,REG,W,85-68,W,-9.5,O,144.5,1
Rutgers, Wake Forest,REG,W,81-57,W,-9.5,O,133.5,1
South Dakota State, Valparaiso,REG,W,61-50,W,-9.5,U,149.5,0
St. John's, Nebraska,REG,W,70-50,W,-9.5,U,159.5,1
St. John's, DePaul,REG,W,86-67,W,-9.5,U,158,1
Temple, Saint Joseph's,REG,W,70-60,W,-9.5,U,143,1
USC, California,REG,W,66-51,W,-9.5,U,127,0
Utah State, Oral Roberts,REG,W,95-85,W,-9.5,O,159.5,1
Villanova, Boston College,REG,W,77-56,W,-9.5,O,130,1
Villanova, Georgetown University,REG,W,73-57,W,-9.5,U,142.5,0
Western Kentucky, Illinois State,REG,W,78-66,W,-9.5,O,135.5,1
Boston College, Cornell,REG,W,79-77,L,-9,O,145,1
Colorado, Yale,REG,W,65-62,L,-9,U,142,1
Colorado State, San Jose State,REG,L,78-70,L,-9,O,133.5,1
Duquesne, North Florida,REG,W,83-82,L,-9,O,149.5,1
Grambling State, Incarnate Word,REG,L,63-61,L,-9,U,135.5,1
Long Beach State, UC San Diego,REG,L,85-83,L,-9,O,143.5,1
New Mexico, South Alabama,REG,W,80-74,L,-9,O,148.5,1
Norfolk State, Monmouth,REG,W,64-59,L,-9,U,141,0
North Texas, UNC Wilmington,REG,L,55-51,L,-9,U,117.5,1
Northeastern, Stony Brook,REG,L,65-61,L,-9,U,131.5,1
PFW, Southern Illinois-Edwardsville,REG,W,81-76,L,-9,O,145,1
Princeton, Army,REG,W,74-66,L,-9,U,150.5,1
Rhode Island, Quinnipiac,REG,L,67-62,L,-9,U,139.5,1
Southern Utah, Northern Arizona,REG,W,106-101,L,-9,O,149.5,1
Syracuse, Louisville,REG,W,70-69,L,-9,O,137,0
Tulane, Rhode Island,REG,W,78-75,L,-9,O,140,0
UC-Santa Barbara, Northern Arizona,REG,L,63-54,L,-9,U,136.5,0
Vanderbilt, Wofford,REG,W,65-62,L,-9,U,135.5,1
Wagner, LIU,REG,W,69-61,L,-9,U,139.5,0
Western Kentucky, Austin Peay,REG,W,75-74,L,-9,O,130,0
Quinnipiac, Dartmouth,REG,W,81-72,P,-9,O,145,1
Belmont, Valparaiso,REG,W,76-64,W,-9,U,141,1
Butler, California,REG,W,82-58,W,-9,O,123.5,0
Central Florida, Tarleton State,REG,W,75-49,W,-9,U,125.5,1
Cleveland State, Chicago State,REG,W,77-63,W,-9,O,128.5,1
Connecticut, Oklahoma State,REG,W,74-64,W,-9,O,136.5,1
Duquesne, Rhode Island,REG,W,72-61,W,-9,U,140.5,1
Florida International, Stony Brook,REG,W,83-50,W,-9,U,148.5,1
Furman, Belmont,REG,W,89-74,W,-9,O,145.5,1
Georgia, East Tennessee State,REG,W,62-47,W,-9,U,142,1
Marshall, Ohio,REG,W,83-69,W,-9,O,151,1
Montana, Idaho,REG,W,67-56,W,-9,U,141,1
Oklahoma State, Sam Houston State,REG,W,65-51,W,-9,U,132,1
Old Dominion, William & Mary,REG,W,72-62,W,-9,O,132.5,1
Oral Roberts, South Dakota State,REG,W,79-40,W,-9,U,158,1
Saint Joseph's, Sacred Heart,REG,W,77-59,W,-9,U,153,1
Samford, Texas Southern,REG,W,78-63,W,-9,U,148.5,1
Samford, Valparaiso,REG,W,79-49,W,-9,U,150,1
South Alabama, Evansville,REG,W,78-67,W,-9,O,130.5,0
South Carolina, Presbyterian,REG,W,68-57,W,-9,U,126.5,1
South Carolina, Eastern Michigan,REG,W,74-64,W,-9,U,142,1
Southern Mississippi, Montana,REG,W,64-54,W,-9,U,128.5,1
St. Thomas (MN), Chicago State,REG,W,83-61,W,-9,P,144,1
Syracuse, Boston College,REG,W,79-65,W,-9,O,133,1
Tennessee State, Alabama A&M,REG,W,87-76,W,-9,O,142,1
UAB, Georgia,REG,W,87-73,W,-9,O,150.5,0
Utah State, Utah Valley,REG,W,75-58,W,-9,U,136.5,1
VCU, Navy,REG,W,74-52,W,-9,U,132,1
Virginia, Georgia Tech,REG,W,74-56,W,-9,O,125,0
Ball State, Georgia Southern,REG,W,58-54,L,-8.5,U,136,1
Boston College, Detroit,REG,W,70-66,L,-8.5,U,138,1
Bryant, Manhattan,REG,W,104-97,L,-8.5,O,151,0
Florida Gulf Coast, Central Arkansas,REG,W,84-79,L,-8.5,O,153.5,0
Florida State, Siena,REG,L,80-63,L,-8.5,O,141,0
Houston, Alabama,REG,L,71-65,L,-8.5,U,138.5,1
Iowa, Clemson,REG,W,74-71,L,-8.5,U,149,0
Jacksonville State, Georgia Southwestern,REG,W,78-73,L,-8.5,O,129,1
Kansas, North Carolina State,REG,W,80-74,L,-8.5,O,153,0
Kentucky, Michigan,REG,W,73-69,L,-8.5,U,145,0
Murray State, Austin Peay,REG,W,68-60,L,-8.5,U,134.5,1
Oklahoma State, Southern Illinois,REG,L,61-60,L,-8.5,U,135,1
Princeton, Northeastern,REG,W,56-54,L,-8.5,U,135.5,1
Purdue, Rutgers,REG,L,65-64,L,-8.5,U,131,1
Quinnipiac, Holy Cross,REG,W,75-71,L,-8.5,O,141,0
Saint Peter's, Hartford,REG,W,58-57,L,-8.5,U,126.5,0
Santa Clara, San Jose State,REG,L,75-64,L,-8.5,U,140,1
Seattle, Cal State-Fullerton,REG,W,69-62,L,-8.5,U,138,1
South Dakota State, Eastern Washington,REG,W,77-76,L,-8.5,O,145.5,1
Tennessee, USC,REG,W,73-66,L,-8.5,O,136,1
Texas, Kansas State,REG,L,116-103,L,-8.5,O,136,1
Texas A&M-Commerce, Incarnate Word,REG,W,82-74,L,-8.5,O,137.5,1
Toledo, Ball State,REG,L,90-83,L,-8.5,O,157,1
Tulsa, Central Michigan,REG,W,70-63,L,-8.5,U,149.5,1
UCLA, Washington State,REG,W,67-66,L,-8.5,U,134,0
UNC Asheville, Texas A&M-Commerce,REG,W,72-64,L,-8.5,U,145,0
Valparaiso, Elon,REG,W,71-66,L,-8.5,O,136.5,1
VCU, Jacksonville,REG,L,73-62,L,-8.5,O,124,1
Youngstown State, Southern,REG,W,85-81,L,-8.5,O,154,1
Cal Baptist, Weber State,REG,W,64-52,W,-8.5,U,134,1
Chattanooga, Wisconsin-Milwaukee,REG,W,88-76,W,-8.5,O,147,1
Cincinnati, Louisville,REG,W,81-62,W,-8.5,O,131,1
Dayton, Duquesne,REG,W,69-57,W,-8.5,U,131.5,1
Fordham, Wagner,REG,W,72-59,W,-8.5,U,135,1
Jacksonville State, Elon,REG,W,78-53,W,-8.5,U,144.5,1
Kent State, Cleveland State,REG,W,67-58,W,-8.5,U,134.5,0
Louisiana Tech, Southern,REG,W,74-59,W,-8.5,U,145.5,1
Loyola Marymount, Cleveland State,REG,W,70-59,W,-8.5,U,135.5,1
Michigan, Pittsburgh,REG,W,91-60,W,-8.5,O,139,0
Missouri State, Oakland,REG,W,76-64,W,-8.5,O,137,0
North Florida, Bethune-Cookman,REG,W,88-48,W,-8.5,U,146,1
North Texas, San Jose State,REG,W,69-54,W,-8.5,O,117.5,0
Northwestern, DePaul,REG,W,83-45,W,-8.5,U,134.5,1
Oklahoma State, Oakland,REG,W,91-62,W,-8.5,O,144,0
Pittsburgh, Tennessee-Martin,REG,W,80-58,W,-8.5,U,140.5,1
Radford, Presbyterian,REG,W,69-51,W,-8.5,U,130.5,1
Rider, Monmouth,REG,W,88-62,W,-8.5,O,139,1
Robert Morris, St. Francis-Pennsylvania,REG,W,77-66,W,-8.5,O,140.5,1
St. Marys, Vermont,REG,W,79-53,W,-8.5,O,131.5,1
St. Marys, North Texas,REG,W,63-33,W,-8.5,U,119.5,1
St. Marys, Wyoming,REG,W,66-54,W,-8.5,U,125,0
Saint Peter's, NJIT,REG,W,73-59,W,-8.5,O,129.5,1
Seattle, Portland State,REG,W,83-71,W,-8.5,U,158.5,1
South Alabama, Robert Morris,REG,W,84-70,W,-8.5,O,132,0
Southern Illinois, Evansville,REG,W,80-53,W,-8.5,O,122,0
Syracuse, Cornell,REG,W,78-63,W,-8.5,U,155,1
Temple, Drexel,REG,W,73-61,W,-8.5,O,129.5,1
Tennessee State, South Carolina State,REG,W,80-61,W,-8.5,U,146,1
UMBC, Morgan State,REG,W,75-63,W,-8.5,U,149,1
UNLV, Southern Mississippi,REG,W,74-63,W,-8.5,U,145,1
Wichita State, Longwood,REG,W,81-63,W,-8.5,O,132,1
Youngstown State, Tennessee-Martin,REG,W,90-72,W,-8.5,O,155,1
Army, NJIT,REG,W,63-62,L,-8,U,137,1
Charlotte, Detroit,REG,W,82-80,L,-8,O,132,1
Columbia, Delaware State,REG,W,70-65,L,-8,U,145,1
Duquesne, Ball State,REG,W,78-77,L,-8,O,143,1
Furman, Old Dominion,REG,L,82-77,L,-8,O,137.5,0
Gonzaga, Xavier,REG,W,88-84,L,-8,O,158.5,1
Hofstra, George Washington,REG,W,85-80,L,-8,O,150.5,1
Kennesaw State, Southeastern Louisiana,REG,W,72-68,L,-8,U,146.5,0
La Salle, Lafayette,REG,L,90-65,L,-8,O,128,1
Lafayette, Columbia,REG,L,57-45,L,-8,U,130,1
Lehigh, Monmouth,REG,W,80-76,L,-8,O,142.5,1
Loyola-Chicago, George Washington,REG,L,97-87,L,-8,O,138,1
Oral Roberts, Missouri State,REG,W,80-77,L,-8,O,144,1
Oregon State, Denver,REG,W,57-52,L,-8,U,138,1
PFW, Oakland,REG,W,79-73,L,-8,U,153.5,1
Purdue, Marquette,REG,W,75-70,L,-8,U,150.5,1
Richmond, William & Mary,REG,L,58-57,L,-8,U,132.5,0
Rutgers, Seton Hall,REG,L,45-43,L,-8,U,131,1
South Alabama, Jacksonville State,REG,W,71-66,L,-8,O,134.5,1
South Dakota State, Western Illinois,REG,W,71-64,L,-8,U,146,1
South Florida, Stetson,REG,L,68-67,L,-8,O,132,1
Texas A&M-Corpus Christi, Cal State-Bakersfield,REG,L,73-63,L,-8,O,126.5,1
Towson, Navy,REG,L,71-69,L,-8,O,130.5,1
UMBC, Columbia,REG,W,73-66,L,-8,U,153.5,0
Washington, Cal Baptist,REG,L,73-64,L,-8,O,133.5,1
Western Carolina, Lamar,REG,W,98-91,L,-8,O,140,1
Xavier, Seton Hall,REG,W,73-70,L,-8,U,144,1
Ole Miss, Temple,REG,W,63-55,P,-8,U,136,1
New Mexico, Southern Utah,REG,W,89-81,P,-8,O,156,1
Abilene Christian, Texas A&M-Commerce,REG,W,83-64,W,-8,O,142,1
Alabama State, Mississippi Valley State,REG,W,70-61,W,-8,U,134.5,1
Albany, LIU,REG,W,76-59,W,-8,U,145.5,1
Belmont, Howard,REG,W,96-73,W,-8,O,146,1
Cal Poly, Idaho,REG,W,82-71,W,-8,O,128,1
College of Charleston, Coastal Carolina,REG,W,83-69,W,-8,O,151,0
Colorado State, Weber State,REG,W,77-52,W,-8,U,139,1
Creighton, Butler,REG,W,78-56,W,-8,U,142,1
Drake, Louisiana-Lafayette,REG,W,76-64,W,-8,U,145,1
Florida Atlantic, Bryant,REG,W,85-74,W,-8,U,161,1
Iona, Seattle,REG,W,83-72,W,-8,O,147.5,0
Jacksonville State, Arkansas-Little Rock,REG,W,72-62,W,-8,U,147.5,1
Kent State, South Dakota State,REG,W,83-68,W,-8,O,145.5,1
Marshall, Robert Morris,REG,W,69-60,W,-8,U,147,0
Notre Dame, Jacksonville,REG,W,59-43,W,-8,U,129,1
Oregon, Nevada,REG,W,78-65,W,-8,O,137.5,1
Quinnipiac, Lafayette,REG,W,76-63,W,-8,O,131,1
Saint Joseph's, Albany,REG,W,99-79,W,-8,O,133.5,1
Saint Louis, Southern Illinois,REG,W,85-72,W,-8,O,135.5,1
San Jose State, Cal State-Bakersfield,REG,W,58-48,W,-8,U,123.5,1
SMU, Tulsa,REG,W,92-67,W,-8,O,141.5,1
St. Thomas (MN), St. Francis-Brooklyn,REG,W,84-48,W,-8,U,142.5,1
St. Thomas (MN), North Dakota,REG,W,75-62,W,-8,U,144.5,1
Syracuse, Georgetown University,REG,W,83-64,W,-8,O,145,1
UC Davis, Arkansas State,REG,W,75-60,W,-8,U,138.5,1
UMass-Lowell, Columbia,REG,W,89-62,W,-8,O,141.5,0
UNC Asheville, South Carolina State,REG,W,94-84,W,-8,O,150.5,0
UNLV, Hawaii,REG,W,77-62,W,-8,O,131.5,1
UTEP, North Carolina A&T,REG,W,75-62,W,-8,O,134,1
Alabama, Memphis,REG,W,91-88,L,-7.5,O,152.5,1
Auburn, Northwestern,REG,W,43-42,L,-7.5,U,134,0
Bellarmine, Miami-Ohio,REG,L,71-67,L,-7.5,O,136,1
Bucknell, Merrimack,REG,W,61-55,L,-7.5,U,130.5,1
Central Florida, UNC Asheville,REG,L,98-95,L,-7.5,O,141,1
Chattanooga, Lipscomb,REG,L,72-66,L,-7.5,U,149.5,1
Chattanooga, The Citadel,REG,L,76-68,L,-7.5,U,147.5,0
Colorado State, Gardner-Webb,REG,W,65-63,L,-7.5,U,137,1
Dartmouth, Incarnate Word,REG,L,69-64,L,-7.5,U,139,0
Detroit, Wisconsin-Milwaukee,REG,L,84-81,L,-7.5,O,149.5,1
Fairfield, Sacred Heart,REG,W,61-59,L,-7.5,U,139,1
Florida International, Eastern Michigan,REG,L,80-68,L,-7.5,U,162.5,1
Gardner-Webb, North Carolina A&T,REG,W,66-64,L,-7.5,U,137.5,0
George Mason, Queens,REG,W,72-65,L,-7.5,U,141.5,1
George Washington, UC San Diego,REG,L,75-70,L,-7.5,O,138.5,1
Indiana State, Drexel,REG,W,85-81,L,-7.5,O,137.5,0
Kansas State, Wichita State,REG,W,55-50,L,-7.5,U,130.5,1
Louisville, Bellarmine,REG,L,67-66,L,-7.5,U,136,1
Loyola-Chicago, Tulsa,REG,L,85-66,L,-7.5,O,141,0
Michigan, Arizona State,REG,L,87-62,L,-7.5,O,142,0
Morehead State, North Alabama,REG,L,81-75,L,-7.5,O,141.5,1
Northern Kentucky, Texas-Arlington,REG,L,60-56,L,-7.5,U,123.5,1
Oakland, Bowling Green,REG,L,87-82,L,-7.5,O,157.5,1
Oklahoma State, DePaul,REG,W,82-78,L,-7.5,O,136.5,0
Old Dominion, Norfolk State,REG,W,68-62,L,-7.5,U,131.5,1
Oregon State, Portland State,REG,L,79-66,L,-7.5,U,147.5,1
Purdue, Nebraska,REG,W,65-62,L,-7.5,U,137.5,0
Quinnipiac, Central Connecticut State,REG,W,72-70,L,-7.5,U,145,0
Radford, VMI,REG,L,77-74,L,-7.5,O,144,0
Rhode Island, Texas State,REG,L,70-66,L,-7.5,O,132,1
Rider, Central Arkansas,REG,L,90-85,L,-7.5,O,151.5,1
Saint Louis, Saint Joseph's,REG,W,83-78,L,-7.5,O,148.5,0
South Dakota State, Stephen F. Austin,REG,L,93-82,L,-7.5,O,149,1
Southern Illinois, Southeast Missouri State,REG,W,70-68,L,-7.5,O,136.5,0
Tennessee, Mississippi - Ole Miss,REG,W,63-59,L,-7.5,U,131,0
Texas A&M-Corpus Christi, UTRGV,REG,L,89-82,L,-7.5,O,156.5,0
UC Irvine, Fresno State,REG,L,80-66,L,-7.5,O,125,1
UC Irvine, Cal State-Bakersfield,REG,W,79-75,L,-7.5,O,126,0
UNC Greensboro, Elon,REG,W,65-61,L,-7.5,U,132.5,0
Western Kentucky, Eastern Kentucky,REG,W,66-60,L,-7.5,U,157.5,0
Western Kentucky, Wright State,REG,W,64-60,L,-7.5,U,145.5,1
Western Kentucky, Louisville,REG,L,94-83,L,-7.5,O,134.5,0
Western Michigan, Houston Baptist,REG,W,90-84,L,-7.5,O,141.5,0
Boston University, Dartmouth,REG,W,67-59,W,-7.5,U,136.5,1
Central Michigan, Eastern Illinois,REG,W,76-60,W,-7.5,O,133,1
Colorado State, Loyola Marymount,REG,W,87-71,W,-7.5,O,144.5,1
Connecticut, Butler,REG,W,68-46,W,-7.5,U,139,0
Drexel, Lafayette,REG,W,64-56,W,-7.5,U,121,1
Drexel, William & Mary,REG,W,66-56,W,-7.5,U,127,1
East Carolina, Coppin State,REG,W,84-75,W,-7.5,O,155.5,1
Florida Gulf Coast, Florida International,REG,W,74-65,W,-7.5,U,153,1
Fordham, New Hampshire,REG,W,79-61,W,-7.5,O,134.5,1
Fordham, UIC,REG,W,79-65,W,-7.5,O,136.5,1
George Mason, Longwood,REG,W,83-69,W,-7.5,O,133,1
Illinois State, Chicago State,REG,W,66-52,W,-7.5,U,135,1
Indiana State, Ball State,REG,W,83-71,W,-7.5,O,149,1
Jacksonville, Louisiana-Monroe,REG,W,66-55,W,-7.5,U,128.5,0
Kennesaw State, USC Upstate,REG,W,65-56,W,-7.5,U,143.5,1
McNeese State, Lamar,REG,W,66-57,W,-7.5,U,141,1
Montana State, St. Thomas (MN),REG,W,82-65,W,-7.5,O,142.5,1
Northwestern State, Louisiana-Monroe,REG,W,91-73,W,-7.5,O,138.5,1
Queens, Wisconsin-Green Bay,REG,W,81-65,W,-7.5,O,137.5,0
St. Marys, Vanderbilt,REG,W,75-65,W,-7.5,O,124.5,0
St. Bonaventure, Bowling Green,REG,W,81-68,W,-7.5,O,144.5,1
St. Bonaventure, Cleveland State,REG,W,61-42,W,-7.5,U,131,1
St. Francis-Brooklyn, Hartford,REG,W,68-50,W,-7.5,U,135,1
Tarleton State, Weber State,REG,W,75-65,W,-7.5,O,132.5,1
Tulane, Buffalo,REG,W,88-63,W,-7.5,U,157,1
UC Irvine, Nicholls State,REG,W,83-56,W,-7.5,U,144,0
UMass-Lowell, Sacred Heart,REG,W,70-59,W,-7.5,U,153,0
UMKC, Lindenwood,REG,W,61-47,W,-7.5,U,136,1
UNC Asheville, Western Carolina,REG,W,73-61,W,-7.5,U,148.5,1
Utah State, Bradley,REG,W,84-62,W,-7.5,O,137.5,1
Utah State, Loyola Marymount,REG,W,79-67,W,-7.5,U,149.5,1
Utah State, Air Force,REG,W,77-65,W,-7.5,O,134.5,0
UTRGV, Houston Baptist,REG,W,100-90,W,-7.5,O,163.5,1
Valparaiso, Stonehill College,REG,W,77-67,W,-7.5,O,141.5,1
Vermont, Merrimack,REG,W,66-43,W,-7.5,U,127,0
Wake Forest, Georgia,REG,W,81-71,W,-7.5,O,138,1
Wake Forest, La Salle,REG,W,75-63,W,-7.5,U,142.5,1
Washington State, Eastern Washington,REG,W,82-56,W,-7.5,U,142,0
Youngstown State, UC San Diego,REG,W,73-54,W,-7.5,U,148.5,1
Arizona, Utah,REG,L,81-66,L,-7,U,154.5,0
BYU, Utah Valley,REG,L,75-60,L,-7,U,143.5,1
Cal Baptist, Portland State,REG,L,74-72,L,-7,O,142.5,1
Central Florida, Samford,REG,W,80-77,L,-7,O,139.5,1
Clemson, Towson,REG,W,80-75,L,-7,O,132,1
East Tennessee State, Tennessee Tech,REG,L,69-62,L,-7,U,145.5,0
Eastern Kentucky, Texas A&M-Commerce,REG,L,75-61,L,-7,U,142.5,1
Iona, Princeton,REG,W,70-64,L,-7,U,146.5,1
Iowa, TCU,REG,L,79-66,L,-7,U,147.5,0
Kansas, Wisconsin,REG,W,69-68,L,-7,O,128,0
Kentucky, Michigan State,REG,L,86-77,L,-7,O,141.5,0
Lipscomb, Stetson,REG,L,86-80,L,-7,O,143,1
Longwood, St. Francis-Brooklyn,REG,W,63-57,L,-7,U,135,0
