Team ,Score ,Away Score ,Home Score ,FG% ,FT% ,3PT ,3PT% ,Assists ,Off. Rebounds ,Turnovers ,Def. Rebounds ,Steals ,Score ,Away Score ,Home Score ,FG% ,FT% ,3PT ,3PT% ,Assists ,
Harvard,67.13,68.67,64.83,44.17,63.12,6.07,28.17,13.13,10.93,14.33,26,7.87,64.47,64.67,64.17,41.13,70.62,6.8,31.1,10.8,
Hawaii,68.36,71,67.64,44.66,71.6,6.57,33.33,11.93,9.93,12,25.07,5.36,59.71,65.67,58.09,39.77,73.66,4.21,27.57,6.93,
High Point,80.79,70.83,88.25,44.33,64.56,7.57,33.02,12.07,12.71,13.86,28.5,6.5,77.86,76.5,78.88,40.9,69.93,8,29.63,16.07,
Hofstra,73.73,72.56,75.5,46.46,74.88,8.73,36.19,13.73,6.8,11.67,24.93,5.73,72.67,74.22,70.33,44.2,69.48,7.47,33.94,13.6,
Holy Cross,66.47,62.57,69.88,43.74,64.08,6.87,35.76,12.13,8.27,12.93,24.73,7.33,71.07,73.71,68.75,43.73,69.96,6.73,32.17,12.87,
Houston,75,76.25,74.55,47.14,71.11,7.27,34.28,14.6,13.4,10.2,26.4,8.67,50.87,55.5,49.18,33.25,68.35,5.67,23.61,8.73,
Houston Baptist,80.71,65,92.5,47.73,67.87,8.5,37.19,16,11.14,16.71,23.64,6.93,85.79,91.83,81.25,51.73,72.04,7.43,35.49,16.43,
Howard,69.13,63.22,76.71,43.63,71.79,6.44,32.59,12.81,10.5,16,23.13,7.5,73.63,77,69.29,45.69,69.55,8.44,36.19,13.69,
Idaho,76.67,69.38,85,48.68,75,8.13,36.42,13.4,8.13,11.67,24.47,5.87,68.33,75.5,60.14,44.55,71.63,6.33,37.7,10.47,
Idaho State,70.27,66.14,73.88,43.11,74.9,8.73,34.38,12.13,8.33,12.4,24.87,6.33,69.27,73,66,43.02,75.79,5.53,29.96,11.27,
Illinois,78.08,75.5,78.55,46.54,65.77,9.08,32.96,14.31,12.54,15.23,27.15,8.23,63.69,74.5,61.73,39.34,70.64,6.15,32.65,11.38,
Illinois State,66.2,60.13,73.14,42.52,79.13,7.33,32.93,10.8,9.4,14.73,25,5.53,68.27,67,69.71,43.42,70.42,6.13,32.39,11.53,
Incarnate Word,69.5,61.13,80.67,43.14,72.98,6.29,34.78,12.14,10,14.36,23.71,8.71,71.21,77,63.5,45.86,67.57,7.29,33.66,14.71,
